"s" "score"
"1" "V1" 0.192561930776232
"2" "V2" 0.101900263927326
"3" "V3" 0.221256217841214
"4" "V4" -0.346186850489924
"5" "V5" -0.0567363228913752
"6" "V6" -0.049462419425149
"7" "V7" -0.0566920087570902
"8" "V8" -0.490230724553774
"9" "V9" -0.0587149361881345
"10" "V10" -1.11911224011607
"11" "V11" 0.395448925954781
"12" "V12" 0.0388795817653358
"13" "V13" -0.100538787707301
"14" "V14" 0.173698354463096
"15" "V15" 0.270096030804224
"16" "V16" 0.0827331395186194
"17" "V17" -0.61172070830411
"18" "V18" -0.386418885080525
"19" "V19" 0.271772731082686
"20" "V20" -0.397159747684556
"21" "V21" -0.270656981128075
"22" "V22" -0.621152763799102
"23" "V23" -0.471391096026084
"24" "V24" 0.625632387263852
"25" "V25" -0.502086078096323
"26" "V26" 0.43695819645299
"27" "V27" 0.0838093770381061
"28" "V28" 0.63319646233503
"29" "V29" -0.158394467543678
"30" "V30" 0.353948683672179
"31" "V31" 0.161882984738708
"32" "V32" 0.0250956350344509
"33" "V33" -0.602088933582306
"34" "V34" -0.353470266889661
"35" "V35" -0.22314428306205
"36" "V36" 0.696566980746465
"37" "V37" 0.00461484935559075
"38" "V38" -0.25276244768273
"39" "V39" -0.0707871012152024
"40" "V40" -0.184803829069016
"41" "V41" -0.155058404004509
"42" "V42" 0.397136578477554
"43" "V43" 0.195360694105015
"44" "V44" -0.274169142592832
"45" "V45" -0.42360294231671
"46" "V46" 0.00376507452998793
"47" "V47" -0.0313761875984902
"48" "V48" -0.207800600875321
"49" "V49" 0.267753320675493
"50" "V50" -0.549430422637645
"51" "V51" 0.488262165673888
"52" "V52" 0.752916892110366
"53" "V53" 1.17607887459864
"54" "V54" -0.163201086650083
"55" "V55" -0.158933400785456
"56" "V56" 0.346796752981862
"57" "V57" 0.544807875376091
"58" "V58" -0.199964015619004
"59" "V59" -1.0531753027889
"60" "V60" -0.182390564100113
"61" "V61" 1.02686322593972
"62" "V62" 0.758861975450981
"63" "V63" -0.199635919847622
"64" "V64" -0.273595667737137
"65" "V65" 0.788046393112972
"66" "V66" -0.361677100308164
"67" "V67" -0.946995154449996
"68" "V68" -0.436147276623029
"69" "V69" -0.246073616982411
"70" "V70" -0.119813205217704
"71" "V71" -0.0879238821978775
"72" "V72" -0.5262982585821
"73" "V73" -0.590463931638869
"74" "V74" -0.45754687206338
"75" "V75" -0.318036596344495
"76" "V76" 0.613673921779671
"77" "V77" 0.24663222568177
"78" "V78" 0.116213487999587
"79" "V79" 1.53949404004332
"80" "V80" 0.12274835278954
"81" "V81" -0.241197546476
"82" "V82" -0.275900387742912
"83" "V83" -0.464956583501651
"84" "V84" 0.588502339465372
"85" "V85" 1.41125642867118
"86" "V86" 0.231186913215321
"87" "V87" 0.228241090921203
"88" "V88" -0.405386624673618
"89" "V89" 0.119811217277844
